eye_am_pyth0n@mac108:~$ ./mac108-project/term_monitor.py                               WARNING: 2.57.122.238 has 2 failed attempt(s), 0 accepted                              WARNING: 2.57.122.238 has 3 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 39 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 40 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 41 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 42 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 43 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 44 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 45 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 46 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 47 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 48 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 129 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 49 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 50 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 51 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 52 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 53 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 54 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 55 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 56 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 57 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 58 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 59 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 60 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 61 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 62 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 63 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 64 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 130 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 65 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 66 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 6 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 7 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 67 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 8 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 68 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 9 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 69 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 10 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 70 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 71 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 72 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 73 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 74 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 75 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 76 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 77 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 78 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 79 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 131 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 80 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 81 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 82 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 83 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 84 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 85 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 86 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 87 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 88 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 89 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 90 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 91 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 92 failed attempt(s), 0 accepted
