TenantId,SourceSystem,"TimeGenerated [UTC]",MG,Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,CollectorHostName,Type,"_ResourceId"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:35.908 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:35.000 PM",daemon,mac108,info,"2026-04-18T18:14:35.908#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1268)#011Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 660, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:01.141 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:01.000 PM",cron,mac108,info,"(root) CMD (command -v debian-sa1 > /dev/null && debian-sa1 1 1)",14785,"10.0.0.4",CRON,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:33.980 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:33.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 22698 ssh2",14800,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:36.533 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:36.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 22698 ssh2",14800,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:37.897 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:37.000 PM",auth,mac108,info,"Invalid user pi from 95.105.28.117 port 57664",14782,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:39.829 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:39.000 PM",auth,mac108,info,"Failed password for invalid user pi from 95.105.28.117 port 57664 ssh2",14782,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:39.883 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:39.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 22698 ssh2",14800,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:42.437 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:42.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 22698 ssh2",14800,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:42.437 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:42.000 PM",auth,mac108,info,"Connection closed by invalid user pi 95.105.28.117 port 57664 [preauth]",14782,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:15:45.986 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:15:45.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 22698 ssh2",14800,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
